Day,DAU/MAU,DAU/WAU,WAU/MAU
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,0,0,0
0004,0.25,1,0.25
0005,0.2,0.5,0.4
0006,0,0,0.4
0007,0.925,0.9487179487179487,0.975
0008,0.3728813559322034,0.3793103448275862,0.9830508474576272
0009,0.2638888888888889,0.2676056338028169,0.9861111111111112
0010,0.15853658536585366,0.16049382716049382,0.9878048780487805
0011,0.05813953488372093,0.058823529411764705,0.9883720930232558
0012,0.011627906976744186,0.011764705882352941,0.9883720930232558
0013,0.023255813953488372,0.023529411764705882,0.9883720930232558
0014,0.08695652173913043,0.13114754098360656,0.6630434782608695
0015,0.053763440860215055,0.11627906976744186,0.46236559139784944
0016,0,0,0.3118279569892473
0017,0.021739130434782608,0.1111111111111111,0.1956521739130435
0018,0.010869565217391304,0.07692307692307693,0.14130434782608695
0019,0.03225806451612903,0.2,0.16129032258064516
0020,0.031914893617021274,0.1875,0.1702127659574468
0021,0,0,0.11702127659574468
0022,0.010526315789473684,0.1111111111111111,0.09473684210526316
0023,0.010416666666666666,0.1,0.10416666666666667
0024,0.010416666666666666,0.1,0.10416666666666667
0025,0,0,0.09375
0026,0.010416666666666666,0.14285714285714285,0.07291666666666667
0027,0.030927835051546393,0.42857142857142855,0.07216494845360824
0028,0.020618556701030927,0.25,0.08247422680412371
0029,0.020202020202020204,0.2222222222222222,0.09090909090909091
0030,0.010101010101010102,0.1111111111111111,0.09090909090909091
0031,0.10091743119266056,0.6111111111111112,0.1651376146788991
0032,0.01818181818181818,0.10526315789473684,0.17272727272727273
0033,0.017857142857142856,0.1,0.17857142857142858
0034,0.02608695652173913,0.13636363636363635,0.19130434782608696
0035,0.07377049180327869,0.3,0.2459016393442623
0036,0.09090909090909091,0.3076923076923077,0.29545454545454547
0037,0.08256880733944955,0.2,0.41284403669724773
0038,0.09375,0.21951219512195122,0.4270833333333333
0039,0.024096385542168676,0.05,0.4819277108433735
0040,0.05128205128205128,0.09523809523809523,0.5384615384615384
0041,0.0641025641025641,0.11627906976744186,0.5512820512820513
0042,0.037037037037037035,0.07894736842105263,0.4691358024691358
0043,0.10588235294117647,0.2571428571428571,0.4117647058823529
0044,0.04878048780487805,0.13793103448275862,0.35365853658536583
0045,0.08045977011494253,0.23333333333333334,0.3448275862068966
0046,0.08421052631578947,0.2222222222222222,0.37894736842105264
0047,0,0,0.3368421052631579
